,StationID,min,max,Xembed_pct_change,LATITUDE,LONGITUDE
0,1AGOO039.63,80.2727272727273,86.0,5.727272727272705,38.9294,-77.8737
1,1AXMJ000.42,37.2727272727273,58.1818181818182,20.9090909090909,38.6375,-77.5055
2,2-DCK003.94,21.0909090909091,47.7272727272727,26.636363636363598,37.463344445,-80.348272222
3,2-DDY000.75,10.3636363636364,32.0,21.636363636363598,38.177135,-79.375906
4,2-HAM000.37,16.1818181818182,60.7272727272727,44.5454545454545,37.4128,-80.021
5,2-IVA000.05,47.8181818181818,71.530612244898,23.712430426716196,37.418055555,-79.186111111
6,2-LIJ003.06,31.0909090909091,59.8,28.709090909090897,37.88495,-79.158911111
7,2-RAM007.29,12.3636363636364,25.2727272727273,12.909090909090898,38.322669445,-79.346430555
8,2-RED003.65,36.1818181818182,71.8181818181818,35.6363636363636,37.509431,-79.38294
9,2-THK000.03,54.9090909090909,79.2727272727273,24.363636363636395,37.386388889,-79.211111111
10,2-TYE008.77,32.9090909090909,62.9090909090909,30.0,37.634166666,-78.902777778
11,2-XVX000.62,77.6363636363636,96.0,18.363636363636402,37.707777,-77.98889
12,2BXAE001.80,37.3636363636364,67.2727272727273,29.909090909090892,37.491769,-78.7566
13,2BXRK001.64,67.0909090909091,82.6363636363636,15.545454545454504,37.811383333,-78.7299
14,3-PIY003.27,22.5454545454545,29.0,6.454545454545499,38.702963889,-78.268669444
15,3-RAP088.21,16.3888888888889,33.1818181818182,16.7929292929293,38.487088889,-78.4067
16,3-SUM004.51,49.6363636363636,83.9090909090909,34.27272727272731,38.395111,-77.954694
17,4ABAU011.17,76.2727272727273,96.5454545454545,20.27272727272721,36.781527777,-79.834547222
18,4ABNN002.17,76.0,92.5454545454545,16.545454545454504,36.799888889,-78.638277778
19,4ACAS003.45,49.0909090909091,65.2727272727273,16.181818181818194,36.5595,-79.679805556
20,4ARCC008.86,20.7272727272727,40.9090909090909,20.181818181818198,36.805527778,-80.334827778
21,4ASRE063.69,50.4545454545455,60.7272727272727,10.272727272727195,36.8436,-80.1617
22,4AXOL000.94,38.5454545454545,73.8181818181818,35.2727272727273,37.3432,-79.6358
23,4AXUO000.49,58.0,67.6363636363636,9.636363636363598,37.112085,-79.604624
24,4BGAR001.19,40.7272727272727,46.9090909090909,6.181818181818201,36.613611111,-80.711388889
25,5AKIT002.65,27.3636363636364,75.8181818181818,48.454545454545396,36.929902778,-78.357877778
26,6AFOX001.69,39.8181818181818,59.2727272727273,19.454545454545503,37.159166666,-82.166111112
27,6AFRY006.70,64.0,68.1818181818182,4.181818181818201,37.093333334,-82.232777777
28,8-POR015.70,60.0,95.0909090909091,35.09090909090909,38.203261111,-77.6398
29,9-BSH012.62,84.7272727272727,96.3636363636364,11.636363636363697,37.056,-80.299389
30,9-LRR012.30,94.5454545454545,98.0,3.454545454545496,37.256666667,-81.459166667
31,9-LRY007.02,14.1818181818182,31.3636363636364,17.1818181818182,37.373916667,-80.5735
32,9-WLK054.42,48.1818181818182,52.0,3.818181818181799,37.102008,-81.042878
